lake,date,high_threshold_mg_m3,valid_pixels,high_pixels,extent_percent
amatitlan,2025-01-28,6.005120277404785,35983,206,0.5724925659339133
amatitlan,2025-04-15,6.005120277404785,35527,2823,7.946069186815661
amatitlan,2025-04-28,6.005120277404785,35460,10052,28.347433728144388
amatitlan,2025-11-24,6.005120277404785,35929,1931,5.37448857468897
amatitlan,2026-01-08,6.005120277404785,35759,5524,15.447859280181213
amatitlan,2026-02-02,6.005120277404785,34291,0,0.0
amatitlan,2026-02-07,6.005120277404785,35938,18,0.050086259669430686
amatitlan,2026-03-29,6.005120277404785,35870,8115,22.623362141064955
amatitlan,2026-04-13,6.005120277404785,36034,23570,65.41044569018149
amatitlan,2026-04-28,6.005120277404785,33649,17543,52.135278908734286
amatitlan,2026-06-19,6.005120277404785,35775,27771,77.62683438155136
atitlan,2025-01-18,1.9786057472229004,204508,11019,5.388053279089327
atitlan,2025-04-13,1.9786057472229004,43456,16911,38.91522459499264
atitlan,2025-05-13,1.9786057472229004,281610,79776,28.328539469479068
atitlan,2025-07-17,1.9786057472229004,20985,7974,37.99857040743388
atitlan,2025-11-21,1.9786057472229004,190342,11175,5.8710111273392105
atitlan,2025-12-29,1.9786057472229004,225310,13422,5.957125737872265
atitlan,2026-02-12,1.9786057472229004,276052,18963,6.869357947053453
atitlan,2026-03-24,1.9786057472229004,298072,38160,12.802275960170697
atitlan,2026-04-13,1.9786057472229004,300402,190423,63.38939154865813
atitlan,2026-04-28,1.9786057472229004,302806,143580,47.41649769159132
atitlan,2026-07-22,1.9786057472229004,263199,70075,26.624341277892395
