lake,date,satellite,scene_ids,l1c_scene_ids,mgrs_tiles,total_lake_pixels,source_pixels,clear_pixels,water_pixels,valid_pixels,valid_percent,masked_percent,source_coverage_percent,clear_percent,floating_vegetation_pixels,model_out_of_range_pixels,excluded_scl_pixels,note,mean_cyano,median_cyano,std_cyano,min_cyano,p10_cyano,p25_cyano,p75_cyano,p90_cyano,p95_cyano,max_cyano,mean_ndvi,median_ndvi,std_ndvi,min_ndvi,p10_ndvi,p25_ndvi,p75_ndvi,p90_ndvi,p95_ndvi,max_ndvi,mean_ndwi,median_ndwi,std_ndwi,min_ndwi,p10_ndwi,p25_ndwi,p75_ndwi,p90_ndwi,p95_ndwi,max_ndwi
amatitlan,2025-01-28,Sentinel-2B,S2B_MSIL2A_20250128T162439_R040_T15PYR_20250128T201354;S2B_MSIL2A_20250128T162439_R040_T15PYS_20250128T201354,S2B_15PYR_20250128_0_L1C;S2B_15PYS_20250128_0_L1C,15PYR;15PYS,37570,37570,37330,35995,35983,95.77588501463934,4.22411498536066,100.0,99.36119244077722,0,12,240,,4.437684535980225,4.491105556488037,0.367120623588562,0.3057246208190918,4.038251876831055,4.280774116516113,4.630420207977295,4.732485771179199,4.79367733001709,9.453113555908203,-0.22411343455314636,-0.23847696185112,0.05462063103914261,-0.31277531385421753,-0.2742980718612671,-0.257485032081604,-0.20494697988033295,-0.15887847542762756,-0.12450511008501053,0.44736841320991516,0.4604031443595886,0.4752851724624634,0.05539148673415184,-0.1947864294052124,0.3905945122241974,0.44054996967315674,0.49602121114730835,0.5094625949859619,0.5189641714096069,0.5473833084106445
amatitlan,2025-04-15,Sentinel-2A,S2A_MSIL2A_20250415T162701_R040_T15PYR_20250416T025913;S2A_MSIL2A_20250415T162701_R040_T15PYS_20250416T025913,S2A_15PYR_20250415_0_L1C;S2A_15PYS_20250415_0_L1C,15PYR;15PYS,37570,37570,36952,35532,35527,94.56215065211605,5.43784934788395,100.0,98.35507053500133,0,5,618,,4.518893241882324,4.630247116088867,1.2038538455963135,0.08608150482177734,3.364840507507324,3.5574655532836914,5.083440780639648,5.848915100097656,6.353096008300781,20.152606964111328,-0.10356247425079346,-0.11071106791496277,0.05350120738148689,-0.205020934343338,-0.15996071696281433,-0.14757278561592102,-0.0741550475358963,-0.035102058202028275,-0.0076870061457157135,0.44392719864845276,0.29286298155784607,0.30058467388153076,0.05519915372133255,-0.22954954206943512,0.22071659564971924,0.2577747106552124,0.33584335446357727,0.351053386926651,0.3614245653152466,0.44600000977516174
amatitlan,2025-04-28,Sentinel-2B,S2B_MSIL2A_20250428T161829_R040_T15PYR_20250428T211327;S2B_MSIL2A_20250428T161829_R040_T15PYS_20250428T211327,S2B_15PYR_20250428_0_L1C;S2B_15PYS_20250428_0_L1C,15PYR;15PYS,37570,37570,36956,35469,35460,94.38381687516636,5.616183124833644,100.0,98.36571732765505,25,9,614,,5.717925548553467,4.904947280883789,2.7086904048919678,0.412947416305542,3.781451940536499,4.087015628814697,6.309657096862793,8.809344291687012,11.006954193115234,33.32426452636719,-0.08034830540418625,-0.10344826430082321,0.10467644780874252,-0.30158731341362,-0.18295219540596008,-0.16095536947250366,-0.017689894884824753,0.056690823286771774,0.11007289588451385,0.6262833476066589,0.29123660922050476,0.2992957532405853,0.10718190670013428,-0.43651753664016724,0.15416456758975983,0.21854303777217865,0.3719247579574585,0.4131753742694855,0.44283679127693176,0.5502222180366516
amatitlan,2025-11-24,Sentinel-2B,S2B_MSIL2A_20251124T162519_R040_T15PYR_20251124T200754;S2B_MSIL2A_20251124T162519_R040_T15PYS_20251124T200754,S2B_15PYR_20251124_0_L1C;S2B_15PYS_20251124_0_L1C,15PYR;15PYS,37570,37570,37331,35941,35929,95.63215331381421,4.3678466861857865,100.0,99.36385413894064,111,12,239,,4.68278169631958,4.0074238777160645,5.629298210144043,0.01432180404663086,3.167860507965088,3.5789148807525635,4.541961193084717,5.119610786437988,6.1751837730407715,116.01893615722656,-0.2127452790737152,-0.24031008780002594,0.11486344039440155,-0.4318840503692627,-0.30105262994766235,-0.27572014927864075,-0.18772563338279724,-0.10172144323587418,-0.021341484040021896,0.7978684306144714,0.4320494532585144,0.4553571045398712,0.10471352189779282,-0.649359405040741,0.3393782675266266,0.41069096326828003,0.4859550893306732,0.5088757872581482,0.5227272510528564,0.6733332872390747
amatitlan,2026-01-08,Sentinel-2C,S2C_MSIL2A_20260108T162651_R040_T15PYR_20260108T200411;S2C_MSIL2A_20260108T162651_R040_T15PYS_20260108T200411,S2C_15PYR_20260108_1_L1C;S2C_15PYS_20260108_0_L1C,15PYR;15PYS,37570,37570,37167,35775,35759,95.17966462603141,4.820335373968592,100.0,98.92733564013841,151,16,403,,6.690025806427002,4.892258167266846,8.702851295471191,0.04064178466796875,4.396462440490723,4.7265520095825195,5.1770710945129395,7.712986946105957,13.11641788482666,129.5009765625,-0.10449598729610443,-0.15202702581882477,0.1406843662261963,-0.26624739170074463,-0.21146951615810394,-0.1900532990694046,-0.07170115411281586,0.06356333196163177,0.17950326204299927,0.7728937268257141,0.35555538535118103,0.4010152220726013,0.13655632734298706,-0.6165664196014404,0.2046421766281128,0.3296089172363281,0.43526512384414673,0.4552631378173828,0.46544981002807617,0.4978961646556854
amatitlan,2026-02-02,Sentinel-2B,S2B_MSIL2A_20260202T162409_R040_T15PYR_20260202T195733;S2B_MSIL2A_20260202T162409_R040_T15PYS_20260202T195733,S2B_15PYR_20260202_0_L1C;S2B_15PYS_20260202_0_L1C,15PYR;15PYS,37570,37570,35806,34295,34291,91.27229172211871,8.727708277881288,100.0,95.30476443971254,0,4,1764,,4.305152893066406,4.4363203048706055,0.3603995144367218,0.007057666778564453,3.8035731315612793,4.014621257781982,4.582557678222656,4.689960956573486,4.743129253387451,5.67492151260376,-0.10881336778402328,-0.10791367292404175,0.05272720009088516,-0.23339658975601196,-0.17900018393993378,-0.1472868174314499,-0.072426937520504,-0.041970983147621155,-0.023458506911993027,0.1305970400571823,0.2959131598472595,0.29073482751846313,0.06308306008577347,0.05471599102020264,0.21506807208061218,0.24865448474884033,0.3469143509864807,0.37922078371047974,0.40369391441345215,0.43977588415145874
amatitlan,2026-02-07,Sentinel-2C,S2C_MSIL2A_20260207T162441_R040_T15PYR_20260207T192010;S2C_MSIL2A_20260207T162441_R040_T15PYS_20260207T192010,S2C_15PYR_20260207_0_L1C;S2C_15PYS_20260207_0_L1C,15PYR;15PYS,37570,37570,37244,35945,35938,95.65610859728507,4.343891402714932,100.0,99.13228639872239,0,7,326,Cobertura válida parcial indicada por el PDF: aproximadamente 57.1%.,4.303244590759277,4.463694095611572,0.4243619441986084,0.3856356143951416,3.667825222015381,4.010121822357178,4.634304523468018,4.723265647888184,4.768876552581787,10.582952499389648,-0.1469341516494751,-0.1570248007774353,0.043489813804626465,-0.253731369972229,-0.1897810399532318,-0.17845119535923004,-0.12709829211235046,-0.0906095877289772,-0.06336940824985504,0.14780601859092712,0.3637523055076599,0.3725000321865082,0.04667922854423523,0.05510534346103668,0.30434781312942505,0.3410404622554779,0.39670470356941223,0.4145077168941498,0.42133328318595886,0.4445892870426178
amatitlan,2026-03-29,Sentinel-2C,S2C_MSIL2A_20260329T161851_R040_T15PYR_20260329T212913;S2C_MSIL2A_20260329T161851_R040_T15PYS_20260329T212913,S2C_15PYR_20260329_0_L1C;S2C_15PYS_20260329_0_L1C,15PYR;15PYS,37570,37570,36951,35870,35870,95.47511312217195,4.524886877828054,100.0,98.3524088368379,5,0,619,,6.430085182189941,5.241079807281494,3.9006991386413574,0.23366594314575195,4.748279094696045,4.934338569641113,5.897067070007324,8.044718742370605,15.451101303100586,50.086326599121094,-0.09669271111488342,-0.1169811487197876,0.07949674874544144,-0.24430957436561584,-0.16193024814128876,-0.13990822434425354,-0.08384458720684052,-0.018778514117002487,0.0958307534456253,0.5745132565498352,0.3168610632419586,0.3371058702468872,0.07679226994514465,-0.3934837281703949,0.22659581899642944,0.29326575994491577,0.3645344078540802,0.3847517967224121,0.39799052476882935,0.49269309639930725
amatitlan,2026-04-13,Sentinel-2B,S2B_MSIL2A_20260413T161829_R040_T15PYR_20260413T200138;S2B_MSIL2A_20260413T161829_R040_T15PYS_20260413T200138,S2B_15PYR_20260413_0_L1C;S2B_15PYS_20260413_0_L1C,15PYR;15PYS,37570,37570,37035,36034,36034,95.91163162097418,4.088368379025819,100.0,98.57599148256588,0,0,535,,6.730051040649414,6.418089389801025,1.4142240285873413,3.9095053672790527,5.402963161468506,5.740999221801758,7.171545028686523,8.577902793884277,9.55850601196289,22.036365509033203,-0.06399298459291458,-0.07033146172761917,0.0386202298104763,-0.1907387226819992,-0.10059887170791626,-0.08528432250022888,-0.05288080498576164,-0.02097197063267231,0.005774156656116247,0.2979999780654907,0.2942756116390228,0.30224621295928955,0.047795575112104416,-0.10798122733831406,0.23277278244495392,0.2728494703769684,0.32486388087272644,0.3412967026233673,0.35488125681877136,0.4561717212200165
amatitlan,2026-04-28,Sentinel-2C,S2C_MSIL2A_20260428T161901_R040_T15PYR_20260428T211111;S2C_MSIL2A_20260428T161901_R040_T15PYS_20260428T211111,S2C_15PYR_20260428_0_L1C_fallback;S2C_15PYS_20260428_0_L1C_fallback,15PYR;15PYS,37570,37570,35180,33649,33649,89.56348150119777,10.436518498802236,100.0,93.63854138940644,382,0,2390,,10.012560844421387,6.687098979949951,7.489023208618164,2.543187379837036,4.014001369476318,4.2438225746154785,14.523783683776855,21.483539581298828,26.220996856689453,44.921871185302734,0.021110933274030685,-0.011337892152369022,0.17729304730892181,-0.1964285671710968,-0.16577540338039398,-0.13664056360721588,0.11970260739326477,0.2730579972267151,0.37663188576698303,0.6705116629600525,0.23020383715629578,0.24424974620342255,0.17314647138118744,-0.4742887616157532,-0.0005066596786491573,0.13976038992404938,0.3857228457927704,0.41716328263282776,0.4254544973373413,0.4568368196487427
