lake,date,item_id,mgrs_tile,satellite,expected_satellite,tile_cloud_percent,pdf_reference_cloud_percent,cloud_difference_points,processing_baseline,acquired_at,note
amatitlan,2025-01-28,S2B_15PYR_20250128_0_L1C,15PYR,Sentinel-2B,Sentinel-2B,,0.06,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-01-28,S2B_15PYS_20250128_0_L1C,15PYS,Sentinel-2B,Sentinel-2B,,0.06,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-04-15,S2A_15PYR_20250415_0_L1C,15PYR,Sentinel-2A,Sentinel-2A,,0.09,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-04-15,S2A_15PYS_20250415_0_L1C,15PYS,Sentinel-2A,Sentinel-2A,,0.09,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-04-28,S2B_15PYR_20250428_0_L1C,15PYR,Sentinel-2B,Sentinel-2B,,1.03,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-04-28,S2B_15PYS_20250428_0_L1C,15PYS,Sentinel-2B,Sentinel-2B,,1.03,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-11-24,S2B_15PYR_20251124_0_L1C,15PYR,Sentinel-2B,Sentinel-2B,,0.5,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2025-11-24,S2B_15PYS_20251124_0_L1C,15PYS,Sentinel-2B,Sentinel-2B,,0.5,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-01-08,S2C_15PYR_20260108_1_L1C,15PYR,Sentinel-2C,Sentinel-2C,,0.77,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-01-08,S2C_15PYS_20260108_0_L1C,15PYS,Sentinel-2C,Sentinel-2C,,0.77,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-02-02,S2B_15PYR_20260202_0_L1C,15PYR,Sentinel-2B,Sentinel-2B,,0.39,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-02-02,S2B_15PYS_20260202_0_L1C,15PYS,Sentinel-2B,Sentinel-2B,,0.39,,05.11,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-02-07,S2C_15PYR_20260207_0_L1C,15PYR,Sentinel-2C,Sentinel-2C,,0.02,,05.12,,Cobertura válida parcial indicada por el PDF: aproximadamente 57.1%. [tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-02-07,S2C_15PYS_20260207_0_L1C,15PYS,Sentinel-2C,Sentinel-2C,,0.02,,05.12,,Cobertura válida parcial indicada por el PDF: aproximadamente 57.1%. [tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-03-29,S2C_15PYR_20260329_0_L1C,15PYR,Sentinel-2C,Sentinel-2C,,0.01,,05.12,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-03-29,S2C_15PYS_20260329_0_L1C,15PYS,Sentinel-2C,Sentinel-2C,,0.01,,05.12,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
amatitlan,2026-04-13,S2B_15PYR_20260413_0_L1C,15PYR,Sentinel-2B,Sentinel-2B,,0.09,,05.12,,[tile_cloud_percent no disponible offline: reconstruido desde metadata.json cacheado]
